customer_id,bureau_pull_date,credit_score,total_accounts,open_accounts,delinquent_accounts,credit_utilisation_pct,oldest_account_months,hard_inquiries_6m,total_credit_limit_inr,total_balance_inr
CUST00458,2024-01-01,410,17,5,0,0.5567,184,1,1616175,1063
CUST00181,2024-01-01,524,17,6,1,0.0061,234,3,1337972,814560
CUST00599,2024-01-01,440,10,4,3,0.0183,99,3,1218448,243578
CUST00384,2024-01-01,651,15,0,4,0.7776,51,4,1553863,1363573
CUST00218,2024-01-02,704,8,0,4,0.1619,107,0,403851,273454
CUST00630,2024-01-02,848,15,5,2,0.5987,166,7,763561,1204236
CUST00200,2024-01-02,340,2,5,0,0.6811,174,2,1428715,861100
CUST00745,2024-01-02,496,18,7,4,0.2794,153,7,151861,61493
CUST00476,2024-01-03,458,10,5,4,0.5693,140,5,1826242,1080090
CUST00123,2024-01-03,647,12,1,1,0.2403,151,2,383526,1318913
CUST00704,2024-01-03,619,4,3,2,0.9463,52,4,1584639,332221
CUST00462,2024-01-03,826,11,4,0,0.8602,50,0,1252279,1452849
CUST00453,2024-01-04,851,1,9,4,0.288,223,7,1702861,1197555
CUST00022,2024-01-04,763,17,5,3,0.5288,139,3,1561445,1113234
CUST00681,2024-01-04,419,15,6,0,0.5006,206,3,1055890,504066
CUST00967,2024-01-04,324,9,7,3,0.96,150,1,1524294,179870
CUST00099,2024-01-05,839,16,3,2,0.394,109,3,725669,643995
CUST00489,2024-01-05,865,16,9,2,0.5622,137,3,1188179,1211063
CUST00564,2024-01-05,450,3,6,1,0.9287,166,2,1834378,879977
CUST00710,2024-01-05,327,2,8,4,0.1628,45,9,215278,971233
CUST00437,2024-01-06,708,5,7,2,0.5505,111,2,743812,1171525
CUST00672,2024-01-06,653,1,6,4,0.1057,173,1,83712,508239
CUST00348,2024-01-06,833,11,0,0,0.6175,21,5,1091828,56036
CUST00007,2024-01-06,645,11,5,2,0.3657,18,3,1575176,1326045
CUST00817,2024-01-07,756,11,1,1,0.9676,39,4,125186,920097
CUST00678,2024-01-07,771,2,6,4,0.4154,142,7,1121284,848350
CUST00521,2024-01-07,305,18,7,2,0.1362,57,0,859676,859915
CUST00799,2024-01-07,389,19,5,3,0.834,105,5,1576288,1279391
CUST00726,2024-01-08,768,12,3,0,0.8209,32,0,479255,1153934
CUST00347,2024-01-08,407,1,0,3,0.6949,60,0,367437,1005170
CUST00713,2024-01-08,423,8,6,0,0.7488,5,0,234635,1173016
CUST00036,2024-01-08,751,14,6,1,0.2647,193,1,844475,432774
CUST00236,2024-01-09,422,15,4,1,0.6421,112,3,1000683,1067583
CUST00805,2024-01-09,389,5,7,0,0.038,43,9,1842380,1462528
CUST00609,2024-01-09,308,16,7,2,0.1969,126,9,958448,352446
CUST00863,2024-01-09,581,19,5,1,0.9323,223,1,384616,856508
CUST00700,2024-01-10,682,10,0,2,0.7392,198,9,1413081,1021818
CUST00207,2024-01-10,738,8,8,3,0.2307,212,6,169977,775132
CUST00121,2024-01-10,843,10,4,0,0.1114,98,5,723316,1453272
CUST00972,2024-01-10,690,1,6,3,0.9489,87,7,1324261,605264
CUST00393,2024-01-11,753,10,9,1,0.1122,76,4,545221,326774
CUST00737,2024-01-11,426,1,3,1,0.2571,73,2,1209345,204516
CUST00247,2024-01-11,504,1,6,2,0.1826,220,5,933937,1273928
CUST00137,2024-01-11,482,11,0,3,0.0075,33,7,1906459,1029319
CUST00989,2024-01-12,339,10,8,3,0.3141,204,6,610526,866999
CUST00190,2024-01-12,881,19,0,0,0.9742,220,1,1817613,646198
CUST00759,2024-01-12,444,10,5,2,0.3419,202,9,1270448,614916
CUST00920,2024-01-12,569,19,3,1,0.5043,150,2,1511389,1401918
CUST00666,2024-01-13,514,16,0,1,0.7459,205,8,379132,1020548
CUST00575,2024-01-13,326,7,4,4,0.5511,8,3,87356,1447645
CUST00664,2024-01-13,842,18,9,0,0.7436,196,0,1474984,1202259
CUST00864,2024-01-13,431,10,1,2,0.6616,123,9,986754,1151461
CUST00520,2024-01-14,360,12,2,2,0.6086,230,5,652257,830455
CUST00573,2024-01-14,505,2,1,1,0.6496,21,2,1797398,363742
CUST00647,2024-01-14,386,5,1,3,0.7992,223,0,686663,980332
CUST00319,2024-01-14,899,10,2,2,0.7102,138,1,895619,1073969
CUST01000,2024-01-15,413,6,5,3,0.7918,25,1,1462186,782954
CUST00273,2024-01-15,481,12,7,1,0.1456,122,9,1926184,30632
CUST00410,2024-01-15,462,2,6,4,0.6777,9,1,1803022,1440004
CUST00932,2024-01-15,315,5,7,3,0.737,20,1,1322351,1239600
CUST00150,2024-01-16,307,13,7,1,0.3,128,8,265283,528306
CUST00934,2024-01-16,607,12,3,4,0.8746,195,8,263441,740427
CUST00933,2024-01-16,439,19,9,4,0.3047,26,2,1401075,185048
CUST00628,2024-01-16,350,18,1,2,0.2438,63,6,1043080,1405109
CUST00691,2024-01-17,474,16,6,0,0.8671,94,5,309554,345943
CUST00272,2024-01-17,464,1,1,2,0.247,130,5,1406453,566640
CUST00834,2024-01-17,554,12,7,3,0.4155,1,3,1887490,642825
CUST00357,2024-01-17,895,5,0,1,0.3679,153,7,177469,394760
CUST00680,2024-01-18,484,6,2,0,0.8981,119,8,1660016,952029
CUST00984,2024-01-18,722,4,3,2,0.4552,230,7,722066,1492584
CUST00841,2024-01-18,761,9,6,4,0.6943,73,9,825681,1282880
CUST00163,2024-01-18,330,3,0,1,0.794,119,1,1448308,796016
