application_id,customer_id,application_date,loan_amount_inr,loan_term_months,annual_income_inr,employment_type,loan_purpose,existing_loans,credit_score,collateral_value,default_flag
APP000001,CUST00872,2023-01-01,1375946,84,360651,self_employed,home_purchase,0,766,2827535,0
APP000002,CUST00393,2023-01-01,7151217,12,1593120,unemployed,home_purchase,4,703,3076150,1
APP000003,CUST00125,2023-01-01,6401534,60,1378228,unemployed,personal,2,857,1693494,1
APP000004,CUST00378,2023-01-02,2738632,84,989981,self_employed,personal,0,876,1090745,0
APP000005,CUST00774,2023-01-02,2782785,60,979427,unemployed,refinance,4,722,2601692,0
APP000006,CUST00287,2023-01-02,7155433,60,1745476,contract,refinance,2,522,3314638,1
APP000007,CUST00999,2023-01-03,679264,36,354702,self_employed,business,4,659,1307115,0
APP000008,CUST00771,2023-01-03,6211379,24,1455262,salaried,business,3,555,3834307,1
APP000009,CUST00358,2023-01-03,1532440,24,562645,contract,auto,4,677,3194382,0
APP000010,CUST00962,2023-01-04,377410,84,369519,contract,refinance,2,787,833180,0
APP000011,CUST00139,2023-01-04,945978,12,1147662,unemployed,refinance,0,521,4693242,1
APP000012,CUST00058,2023-01-04,8389738,12,1956120,contract,auto,0,603,219291,1
APP000013,CUST00542,2023-01-05,1143350,36,1524354,salaried,auto,2,327,3268641,1
APP000014,CUST00809,2023-01-05,2767609,84,1570051,contract,home_purchase,2,741,2197936,0
APP000015,CUST00336,2023-01-05,2988265,60,1491459,contract,home_purchase,4,593,3269046,0
APP000016,CUST00931,2023-01-06,2064628,60,1614915,self_employed,auto,2,575,3870120,0
APP000017,CUST00654,2023-01-06,2149303,60,1123807,self_employed,personal,5,619,3436002,0
APP000018,CUST00839,2023-01-06,1654430,12,430604,unemployed,home_purchase,1,429,3253899,1
APP000019,CUST00934,2023-01-07,968859,24,1711546,contract,auto,2,658,4204427,0
APP000020,CUST00471,2023-01-07,4267433,12,1010694,contract,home_purchase,4,747,3509408,1
APP000021,CUST00569,2023-01-07,4792669,84,1100633,self_employed,refinance,0,509,4068711,1
APP000022,CUST00268,2023-01-08,1886826,84,867436,self_employed,personal,1,378,2014196,1
APP000023,CUST00203,2023-01-08,629685,24,528589,contract,refinance,4,532,1014115,1
APP000024,CUST00535,2023-01-08,5985228,24,1868176,unemployed,refinance,3,419,1174727,1
APP000025,CUST00439,2023-01-09,1668726,24,1606821,contract,business,4,524,3060536,1
APP000026,CUST00146,2023-01-09,2911072,120,1358957,contract,home_purchase,3,676,2658894,0
APP000027,CUST00988,2023-01-09,4448808,36,924345,salaried,home_purchase,5,368,385761,1
APP000028,CUST00856,2023-01-10,8370541,84,1680970,unemployed,business,5,748,1021828,1
APP000029,CUST00608,2023-01-10,4696919,36,1181772,salaried,auto,5,434,4837757,1
APP000030,CUST00322,2023-01-10,1895803,84,998145,unemployed,home_purchase,0,836,3631143,0
APP000031,CUST00785,2023-01-11,3633410,60,1010827,self_employed,auto,3,739,3774891,0
APP000032,CUST00142,2023-01-11,2237772,24,609029,unemployed,auto,0,463,984832,1
APP000033,CUST00147,2023-01-11,821425,120,365844,unemployed,refinance,1,637,321109,0
APP000034,CUST00397,2023-01-12,4054883,84,1198252,unemployed,auto,1,366,1456316,1
APP000035,CUST00167,2023-01-12,985907,84,1798201,unemployed,personal,3,359,4284391,1
APP000036,CUST00454,2023-01-12,453653,120,314871,contract,refinance,2,873,2532723,0
APP000037,CUST00204,2023-01-13,4995538,24,1744924,unemployed,business,5,781,3923124,0
APP000038,CUST00024,2023-01-13,2090002,12,1689736,salaried,auto,1,392,2433549,1
APP000039,CUST00684,2023-01-13,870321,60,698167,salaried,business,3,469,2450928,1
APP000040,CUST00062,2023-01-14,5700103,24,1336995,contract,home_purchase,4,418,3004246,1
APP000041,CUST00050,2023-01-14,2462735,36,497412,unemployed,refinance,5,537,4794643,1
APP000042,CUST00151,2023-01-14,4696584,24,1564557,unemployed,personal,1,474,2187223,1
APP000043,CUST00507,2023-01-15,6246711,36,1460941,contract,business,4,496,2978804,1
APP000044,CUST00908,2023-01-15,4154226,36,838146,contract,refinance,0,617,4597366,1
APP000045,CUST00547,2023-01-15,366463,36,322256,contract,business,3,413,1861534,1
APP000046,CUST00031,2023-01-16,4901448,84,1947256,unemployed,home_purchase,2,829,4199670,0
APP000047,CUST00097,2023-01-16,2271647,60,1002237,unemployed,auto,5,736,2675265,0
APP000048,CUST00361,2023-01-16,1554952,36,1807618,salaried,refinance,4,756,4395567,0
APP000049,CUST00425,2023-01-17,5537550,12,1420254,contract,auto,5,401,2339065,1
APP000050,CUST00975,2023-01-17,3925881,60,1601090,self_employed,business,5,724,3147582,0
APP000051,CUST00474,2023-01-17,4095095,24,1567818,unemployed,personal,2,801,1616416,0
APP000052,CUST00164,2023-01-18,648326,24,550349,contract,personal,4,405,3175039,1
APP000053,CUST00310,2023-01-18,1123654,36,855030,unemployed,refinance,0,750,1631236,0
APP000054,CUST00937,2023-01-18,4765689,12,1040097,self_employed,business,3,514,3045993,1
APP000055,CUST00086,2023-01-19,768226,36,1096024,contract,auto,0,772,3943842,0
APP000056,CUST00343,2023-01-19,431607,24,278846,salaried,personal,4,587,2174420,0
APP000057,CUST00263,2023-01-19,2147774,120,1183825,unemployed,personal,5,781,2146170,0
APP000058,CUST00249,2023-01-20,1292659,120,477721,salaried,personal,4,388,1610530,1
APP000059,CUST00505,2023-01-20,4828025,12,1538076,self_employed,personal,5,533,3652334,1
APP000060,CUST00170,2023-01-20,3887928,60,1429488,unemployed,auto,1,464,2960014,1
APP000061,CUST00417,2023-01-21,1634528,60,1860550,unemployed,personal,5,449,2582212,1
APP000062,CUST00486,2023-01-21,2459527,36,1540571,self_employed,business,3,484,127659,1
APP000063,CUST00733,2023-01-21,3694498,36,859956,self_employed,refinance,4,529,550505,1
APP000064,CUST00978,2023-01-22,6541260,84,1941517,salaried,auto,4,376,37282,1
APP000065,CUST00175,2023-01-22,3214292,36,939530,unemployed,home_purchase,3,724,4251241,0
APP000066,CUST00838,2023-01-22,2765214,12,786485,salaried,refinance,1,630,4258209,0
APP000067,CUST00353,2023-01-23,7197364,36,1829964,salaried,personal,3,797,339635,0
APP000068,CUST00037,2023-01-23,660078,24,866827,self_employed,personal,3,723,232120,0
APP000069,CUST00064,2023-01-23,725358,36,337417,salaried,refinance,5,389,3907171,1
APP000070,CUST00407,2023-01-24,3060213,24,1045200,salaried,auto,2,341,2623975,1
APP000071,CUST00472,2023-01-24,3302075,12,1632223,contract,business,3,553,1544630,0
APP000072,CUST00822,2023-01-24,2326590,120,541048,contract,home_purchase,3,588,3074938,1
APP000073,CUST00633,2023-01-25,2760521,12,1033293,self_employed,home_purchase,0,444,1182337,1
APP000074,CUST00008,2023-01-25,1717567,84,433858,unemployed,refinance,0,769,990856,0
APP000075,CUST00069,2023-01-25,6222250,84,1435660,contract,personal,0,648,1837388,1
APP000076,CUST00763,2023-01-26,2927511,60,1056268,salaried,refinance,3,748,4478654,0
APP000077,CUST00601,2023-01-26,3648451,120,794353,contract,business,2,365,3835757,1
APP000078,CUST00252,2023-01-26,1911741,12,608436,contract,business,5,789,950478,0
APP000079,CUST00922,2023-01-27,5261129,24,1216099,unemployed,auto,4,423,2808605,1
APP000080,CUST00913,2023-01-27,2857237,24,1405665,salaried,refinance,0,568,4422574,0
APP000081,CUST00323,2023-01-27,5194437,60,1892550,salaried,home_purchase,0,563,4758088,0
APP000082,CUST00171,2023-01-28,2853394,60,986873,self_employed,business,2,792,3814951,0
APP000083,CUST00734,2023-01-28,475739,120,489238,self_employed,business,5,466,644304,1
APP000084,CUST00643,2023-01-28,3896220,36,1698820,unemployed,auto,0,444,1203714,1
APP000085,CUST00775,2023-01-29,6171811,24,1333575,contract,auto,1,503,1093041,1
APP000086,CUST00567,2023-01-29,4876160,120,1460477,contract,personal,0,516,753720,1
APP000087,CUST00709,2023-01-29,487051,84,375007,contract,personal,2,409,876631,1
APP000088,CUST00459,2023-01-30,1543460,84,762259,unemployed,home_purchase,5,405,1581163,1
APP000089,CUST00503,2023-01-30,2155183,36,1582119,self_employed,personal,4,438,2777553,1
APP000090,CUST00598,2023-01-30,1038714,36,1698067,salaried,business,2,580,1989752,0
APP000091,CUST00819,2023-01-31,4595944,36,983390,salaried,personal,0,506,2104080,1
APP000092,CUST00695,2023-01-31,4149352,84,1648575,self_employed,auto,2,535,1228923,1
APP000093,CUST00484,2023-01-31,3230986,24,1715045,contract,auto,3,731,755188,0
APP000094,CUST00623,2023-02-01,2865725,120,897461,self_employed,refinance,1,444,4994457,1
APP000095,CUST00501,2023-02-01,968070,24,1816557,self_employed,personal,4,845,2994982,0
APP000096,CUST00979,2023-02-01,1259023,36,718990,self_employed,refinance,5,751,1148261,0
APP000097,CUST00374,2023-02-02,2312510,24,631204,unemployed,refinance,1,404,4049945,1
APP000098,CUST00224,2023-02-02,4788250,60,1428491,unemployed,refinance,1,488,4153174,1
APP000099,CUST00160,2023-02-02,6620639,84,1346171,salaried,refinance,0,410,4833899,1
APP000100,CUST00899,2023-02-03,1486339,120,451554,salaried,refinance,4,463,795588,1
APP000101,CUST00066,2023-02-03,4500075,84,1698926,salaried,home_purchase,2,519,3199848,1
APP000102,CUST00256,2023-02-03,2198158,24,559834,unemployed,personal,1,378,4901223,1
APP000103,CUST00003,2023-02-04,7526813,24,1648818,self_employed,auto,1,308,4033350,1
APP000104,CUST00084,2023-02-04,798230,120,213252,unemployed,business,0,563,1127617,0
APP000105,CUST00283,2023-02-04,7901019,36,1634316,contract,home_purchase,2,720,4465166,1
APP000106,CUST00470,2023-02-05,6496602,12,1616463,contract,personal,4,481,2108442,1
APP000107,CUST00858,2023-02-05,7061455,84,1604655,self_employed,home_purchase,1,816,2444596,1
APP000108,CUST00692,2023-02-05,1415542,60,1396731,self_employed,auto,0,521,2792820,1
APP000109,CUST00715,2023-02-06,3981174,12,1048820,salaried,auto,2,840,3856963,0
APP000110,CUST00787,2023-02-06,3644443,84,1469297,contract,auto,4,441,601428,1
APP000111,CUST00675,2023-02-06,2088744,60,698818,self_employed,personal,2,623,2696266,0
