date,rbi_repo_rate_pct,cpi_inflation_pct,gdp_growth_rate_pct,unemployment_rate_pct,usd_inr_exchange,nifty_50_index
2023-01-01,6.48,5.51,7.0,7.53,82.99,14981
2023-01-02,6.48,5.5,7.01,7.54,83.02,14959
2023-01-03,6.5,5.51,7.03,7.57,83.0,14998
2023-01-04,6.49,5.53,7.01,7.54,82.93,15101
2023-01-05,6.48,5.5,7.03,7.54,82.92,15200
2023-01-06,6.48,5.48,7.03,7.58,82.98,15223
2023-01-07,6.48,5.47,7.08,7.56,82.9,15218
2023-01-08,6.49,5.45,7.06,7.55,82.85,15182
2023-01-09,6.5,5.43,7.01,7.54,82.83,15051
2023-01-10,6.49,5.42,7.04,7.58,82.84,15059
2023-01-11,6.5,5.44,7.05,7.57,82.96,15001
2023-01-12,6.51,5.46,7.09,7.58,82.92,15109
2023-01-13,6.5,5.46,7.1,7.59,82.93,15103
2023-01-14,6.5,5.47,7.17,7.55,82.93,15173
2023-01-15,6.51,5.51,7.16,7.55,82.91,15144
2023-01-16,6.52,5.5,7.19,7.54,82.91,15100
2023-01-17,6.51,5.5,7.18,7.55,82.89,15158
2023-01-18,6.51,5.49,7.19,7.59,83.02,15191
2023-01-19,6.51,5.46,7.21,7.58,83.06,15226
2023-01-20,6.5,5.49,7.24,7.57,83.04,15229
2023-01-21,6.49,5.48,7.26,7.62,83.1,15302
2023-01-22,6.5,5.5,7.16,7.61,83.11,15364
2023-01-23,6.51,5.49,7.16,7.58,83.11,15199
2023-01-24,6.53,5.52,7.14,7.61,83.1,15189
2023-01-25,6.53,5.5,7.13,7.61,83.09,15280
2023-01-26,6.53,5.52,7.12,7.61,83.03,15208
2023-01-27,6.53,5.54,7.15,7.66,82.95,15083
2023-01-28,6.54,5.5,7.16,7.63,82.97,15082
2023-01-29,6.55,5.49,7.14,7.63,82.96,15134
2023-01-30,6.55,5.51,7.1,7.6,83.0,15107
2023-01-31,6.54,5.54,7.14,7.61,82.96,15220
2023-02-01,6.54,5.56,7.13,7.6,82.9,15378
2023-02-02,6.54,5.55,7.12,7.57,82.94,15234
2023-02-03,6.55,5.53,7.19,7.59,82.92,15213
2023-02-04,6.53,5.54,7.17,7.59,82.97,15040
2023-02-05,6.52,5.53,7.16,7.56,82.97,15103
2023-02-06,6.53,5.53,7.17,7.54,83.06,15059
2023-02-07,6.52,5.52,7.12,7.54,83.1,15031
2023-02-08,6.51,5.54,7.07,7.51,83.12,15133
2023-02-09,6.52,5.58,7.05,7.52,83.16,15036
2023-02-10,6.51,5.6,7.04,7.54,83.15,14920
2023-02-11,6.51,5.6,7.04,7.56,83.07,14748
2023-02-12,6.52,5.58,7.01,7.54,83.08,14859
2023-02-13,6.51,5.59,7.03,7.55,83.18,14953
2023-02-14,6.5,5.63,6.96,7.52,83.07,14939
2023-02-15,6.52,5.65,6.96,7.53,83.09,14847
2023-02-16,6.52,5.65,6.97,7.52,83.01,14924
2023-02-17,6.53,5.64,6.98,7.5,83.01,15154
2023-02-18,6.52,5.65,6.97,7.51,83.02,15145
2023-02-19,6.52,5.67,6.95,7.47,83.05,15059
2023-02-20,6.52,5.67,6.95,7.45,83.06,15168
2023-02-21,6.52,5.67,6.99,7.43,83.13,15088
2023-02-22,6.53,5.66,6.97,7.42,83.19,15068
2023-02-23,6.53,5.71,7.0,7.44,83.18,14867
2023-02-24,6.54,5.69,7.03,7.46,83.24,14853
2023-02-25,6.55,5.67,6.98,7.46,83.22,14761
2023-02-26,6.54,5.68,6.98,7.46,83.2,14871
2023-02-27,6.53,5.67,6.95,7.46,83.14,14803
2023-02-28,6.53,5.69,6.9,7.49,83.2,14876
2023-03-01,6.54,5.71,6.92,7.45,83.19,14877
2023-03-02,6.54,5.69,6.94,7.47,83.06,14897
2023-03-03,6.54,5.67,6.95,7.46,83.09,14949
2023-03-04,6.55,5.66,6.91,7.47,83.07,14955
2023-03-05,6.54,5.67,6.92,7.48,83.06,14913
2023-03-06,6.53,5.68,6.88,7.49,83.04,14858
2023-03-07,6.52,5.67,6.88,7.52,83.03,14909
2023-03-08,6.53,5.68,6.86,7.5,83.16,14767
2023-03-09,6.53,5.66,6.9,7.52,83.25,14911
2023-03-10,6.53,5.64,6.88,7.52,83.28,14932
2023-03-11,6.52,5.61,6.89,7.51,83.29,14915
2023-03-12,6.52,5.62,6.9,7.55,83.35,14946
2023-03-13,6.52,5.62,6.9,7.56,83.36,14908
2023-03-14,6.51,5.6,6.9,7.55,83.4,14904
2023-03-15,6.51,5.61,6.91,7.57,83.43,14823
2023-03-16,6.51,5.63,6.88,7.57,83.44,14863
2023-03-17,6.53,5.61,6.89,7.56,83.48,14867
2023-03-18,6.52,5.6,6.92,7.55,83.46,14892
2023-03-19,6.52,5.61,6.93,7.56,83.47,15021
2023-03-20,6.51,5.61,6.92,7.54,83.42,14967
2023-03-21,6.5,5.59,6.93,7.55,83.37,14966
2023-03-22,6.49,5.58,6.92,7.56,83.25,14844
2023-03-23,6.49,5.57,6.91,7.57,83.27,14898
2023-03-24,6.5,5.56,6.88,7.61,83.31,14907
2023-03-25,6.49,5.56,6.92,7.61,83.36,14918
2023-03-26,6.5,5.59,6.98,7.63,83.31,14915
2023-03-27,6.5,5.59,6.95,7.65,83.33,14879
2023-03-28,6.5,5.55,6.98,7.68,83.33,15089
2023-03-29,6.5,5.56,7.02,7.72,83.36,15102
2023-03-30,6.49,5.59,6.99,7.69,83.33,15136
2023-03-31,6.5,5.59,6.93,7.69,83.32,15055
2023-04-01,6.52,5.58,6.97,7.69,83.24,15135
2023-04-02,6.53,5.57,6.97,7.69,83.2,15135
2023-04-03,6.53,5.58,6.96,7.69,83.2,15181
2023-04-04,6.52,5.58,6.96,7.67,83.21,15263
2023-04-05,6.52,5.55,6.95,7.65,83.13,15265
2023-04-06,6.53,5.53,7.04,7.65,83.1,15221
2023-04-07,6.53,5.53,7.02,7.67,83.11,15045
2023-04-08,6.52,5.54,7.03,7.66,83.18,15024
2023-04-09,6.52,5.53,7.07,7.66,83.14,14979
2023-04-10,6.52,5.53,7.11,7.64,83.16,14898
2023-04-11,6.5,5.53,7.14,7.62,83.13,15024
2023-04-12,6.5,5.51,7.13,7.62,83.11,15112
2023-04-13,6.5,5.51,7.12,7.63,83.07,14976
2023-04-14,6.5,5.52,7.06,7.65,83.02,14998
2023-04-15,6.47,5.5,7.06,7.63,82.99,14943
2023-04-16,6.46,5.5,7.06,7.63,83.04,14982
2023-04-17,6.46,5.48,7.08,7.65,83.01,14928
2023-04-18,6.45,5.46,7.13,7.63,82.96,14895
2023-04-19,6.43,5.45,7.15,7.65,82.97,14982
2023-04-20,6.43,5.47,7.19,7.64,82.97,15058
2023-04-21,6.44,5.44,7.19,7.66,82.97,15189
2023-04-22,6.43,5.43,7.22,7.65,82.98,15181
2023-04-23,6.43,5.43,7.23,7.66,82.93,15075
2023-04-24,6.43,5.45,7.26,7.69,82.89,15159
2023-04-25,6.41,5.49,7.28,7.69,82.93,15243
2023-04-26,6.42,5.48,7.3,7.71,82.93,15303
2023-04-27,6.42,5.49,7.25,7.72,82.96,15253
2023-04-28,6.42,5.49,7.28,7.7,83.02,15178
2023-04-29,6.42,5.49,7.29,7.7,83.06,15231
2023-04-30,6.41,5.49,7.31,7.69,82.99,15170
2023-05-01,6.42,5.46,7.32,7.67,82.99,15155
2023-05-02,6.43,5.46,7.34,7.67,83.04,15398
2023-05-03,6.43,5.47,7.38,7.69,83.06,15578
2023-05-04,6.43,5.45,7.36,7.7,83.07,15651
2023-05-05,6.43,5.46,7.38,7.73,82.99,15608
2023-05-06,6.44,5.43,7.35,7.75,82.96,15561
2023-05-07,6.43,5.43,7.37,7.74,82.96,15628
2023-05-08,6.43,5.46,7.38,7.73,82.89,15758
2023-05-09,6.43,5.45,7.36,7.75,82.93,15727
2023-05-10,6.43,5.43,7.36,7.76,82.93,15700
2023-05-11,6.44,5.4,7.35,7.76,82.83,15717
2023-05-12,6.46,5.41,7.33,7.74,82.8,15616
2023-05-13,6.46,5.43,7.34,7.73,82.79,15517
2023-05-14,6.47,5.43,7.35,7.74,82.78,15433
2023-05-15,6.46,5.42,7.3,7.7,82.85,15487
2023-05-16,6.47,5.38,7.31,7.65,82.88,15519
2023-05-17,6.46,5.38,7.3,7.67,82.81,15620
