transaction_id,customer_id,transaction_date,amount_inr,transaction_type,channel,merchant_code,balance_after_inr,is_flagged
TXN0000001,CUST00042,2023-04-11,69291,debit,atm,MCC5535,1401232,0
TXN0000002,CUST00249,2023-07-14,492934,emi_payment,atm,MCC3772,1481620,0
TXN0000003,CUST00353,2023-06-12,236729,transfer,atm,MCC6083,296937,0
TXN0000004,CUST00467,2023-05-24,126686,emi_payment,branch,MCC4986,1134647,0
TXN0000005,CUST00271,2023-10-08,181510,debit,mobile_app,MCC2670,1476115,0
TXN0000006,CUST00578,2023-07-09,420735,debit,internet_banking,MCC7955,1620022,0
TXN0000007,CUST00964,2023-09-18,355016,emi_payment,branch,MCC3990,752689,0
TXN0000008,CUST00712,2023-07-09,86134,atm_withdrawal,branch,MCC5846,1127703,1
TXN0000009,CUST00312,2023-12-31,495064,emi_payment,mobile_app,MCC9176,346775,0
TXN0000010,CUST00678,2023-06-21,65526,atm_withdrawal,atm,MCC2688,865030,0
TXN0000011,CUST00967,2023-10-18,137758,atm_withdrawal,branch,MCC4844,951812,0
TXN0000012,CUST00242,2023-08-12,364628,credit,atm,MCC2573,65009,0
TXN0000013,CUST00233,2023-10-20,264907,debit,branch,MCC4931,1833209,0
TXN0000014,CUST00040,2023-11-20,222991,transfer,internet_banking,MCC3710,1285960,0
TXN0000015,CUST00843,2023-03-24,463147,emi_payment,mobile_app,MCC9238,366022,0
TXN0000016,CUST00833,2023-04-21,396982,emi_payment,mobile_app,MCC3726,1795036,0
TXN0000017,CUST00414,2023-04-21,481085,transfer,branch,MCC6526,1382836,0
TXN0000018,CUST00873,2023-06-27,141354,atm_withdrawal,internet_banking,MCC2229,1386302,0
TXN0000019,CUST00652,2023-06-29,425339,atm_withdrawal,atm,MCC5103,1865876,0
TXN0000020,CUST00979,2023-01-02,106675,transfer,atm,MCC8511,808292,0
TXN0000021,CUST00923,2023-11-23,402960,transfer,internet_banking,MCC7047,710277,0
TXN0000022,CUST00960,2023-11-10,274444,debit,atm,MCC3543,1233798,0
TXN0000023,CUST00393,2023-08-08,298982,emi_payment,branch,MCC9745,1777043,0
TXN0000024,CUST00634,2023-04-22,57743,emi_payment,pos,MCC8219,1625912,0
TXN0000025,CUST00168,2023-10-29,439603,atm_withdrawal,pos,MCC4621,1573300,0
TXN0000026,CUST00895,2023-04-10,139446,debit,pos,MCC9760,1528480,0
TXN0000027,CUST00319,2023-04-22,299103,debit,mobile_app,MCC2685,69986,0
TXN0000028,CUST00449,2023-12-31,83201,emi_payment,branch,MCC3987,982356,0
TXN0000029,CUST00595,2023-12-04,462977,transfer,mobile_app,MCC9374,711401,0
TXN0000030,CUST00788,2023-08-02,160091,transfer,pos,MCC9731,723353,0
TXN0000031,CUST00732,2023-03-03,381385,transfer,atm,MCC8407,1711989,0
TXN0000032,CUST00956,2023-02-14,382772,emi_payment,internet_banking,MCC2720,793727,0
TXN0000033,CUST00713,2023-12-18,275196,emi_payment,atm,MCC2966,1673620,0
TXN0000034,CUST00797,2023-04-07,60459,debit,branch,MCC6826,1815818,0
TXN0000035,CUST00573,2023-09-06,140024,emi_payment,branch,MCC1503,910265,0
TXN0000036,CUST00416,2023-05-09,305973,transfer,branch,MCC9919,339707,0
TXN0000037,CUST00914,2023-07-01,267990,transfer,pos,MCC9471,1396855,0
TXN0000038,CUST00378,2023-12-26,292424,emi_payment,atm,MCC8274,1725959,0
TXN0000039,CUST00621,2023-08-05,124773,emi_payment,branch,MCC9712,812165,0
TXN0000040,CUST00292,2023-06-07,269111,credit,atm,MCC3067,390567,0
TXN0000041,CUST00483,2023-06-01,42753,debit,mobile_app,MCC8930,1041125,1
TXN0000042,CUST00368,2023-03-25,242175,debit,internet_banking,MCC3315,1961779,0
TXN0000043,CUST00259,2023-07-23,45792,atm_withdrawal,mobile_app,MCC2090,1034145,0
TXN0000044,CUST00821,2023-07-27,331963,credit,pos,MCC3361,896685,0
TXN0000045,CUST00768,2023-02-04,283441,credit,mobile_app,MCC7972,879916,0
TXN0000046,CUST00702,2023-05-28,425920,atm_withdrawal,pos,MCC9485,1466860,0
TXN0000047,CUST00084,2023-08-24,231079,credit,pos,MCC6506,681942,0
TXN0000048,CUST00250,2023-01-21,81102,transfer,pos,MCC3208,1458748,0
TXN0000049,CUST00219,2023-12-23,117688,credit,atm,MCC6407,1973067,0
TXN0000050,CUST00712,2023-11-11,407084,emi_payment,branch,MCC5586,1545062,0
TXN0000051,CUST00893,2023-08-21,479119,transfer,pos,MCC5660,1857301,0
TXN0000052,CUST00380,2023-01-06,30831,transfer,pos,MCC4148,1578791,0
TXN0000053,CUST00331,2023-07-09,338239,transfer,pos,MCC2248,1687311,0
TXN0000054,CUST00558,2023-11-24,241114,atm_withdrawal,atm,MCC4251,78149,0
TXN0000055,CUST00988,2023-01-09,128997,transfer,atm,MCC9012,705943,0
TXN0000056,CUST00371,2023-10-17,255781,transfer,atm,MCC4673,546668,0
TXN0000057,CUST00279,2023-11-03,467901,atm_withdrawal,pos,MCC1186,1726411,0
TXN0000058,CUST00522,2023-01-28,98873,debit,branch,MCC4105,459418,0
TXN0000059,CUST00916,2023-03-26,418562,atm_withdrawal,branch,MCC5148,1935564,0
TXN0000060,CUST00730,2023-09-22,44927,debit,pos,MCC6398,1397186,0
TXN0000061,CUST00519,2023-11-29,360344,credit,internet_banking,MCC6773,247903,0
TXN0000062,CUST00732,2023-10-09,37547,debit,atm,MCC4828,1366634,0
TXN0000063,CUST00016,2023-07-11,30431,transfer,mobile_app,MCC2288,685222,0
TXN0000064,CUST00754,2023-08-08,18713,atm_withdrawal,branch,MCC4968,594066,0
TXN0000065,CUST00098,2023-07-11,402404,credit,mobile_app,MCC1029,1988124,0
TXN0000066,CUST00392,2023-07-30,286839,emi_payment,pos,MCC5553,1587083,0
TXN0000067,CUST00350,2023-10-09,345215,credit,pos,MCC5006,1526725,0
TXN0000068,CUST00691,2023-01-19,77821,emi_payment,internet_banking,MCC4205,623241,0
TXN0000069,CUST00241,2023-03-18,460744,atm_withdrawal,mobile_app,MCC6955,1325113,0
TXN0000070,CUST00239,2023-01-22,404371,emi_payment,atm,MCC7790,685870,0
TXN0000071,CUST00885,2023-10-18,244366,credit,pos,MCC3374,1205978,0
TXN0000072,CUST00478,2023-09-23,449486,atm_withdrawal,internet_banking,MCC5530,797701,0
TXN0000073,CUST00742,2023-01-20,71599,debit,pos,MCC5587,1219057,0
TXN0000074,CUST00584,2023-02-08,146274,atm_withdrawal,branch,MCC5582,1489179,0
TXN0000075,CUST00620,2023-04-07,24309,atm_withdrawal,branch,MCC4629,630285,0
TXN0000076,CUST00687,2023-03-30,82316,emi_payment,internet_banking,MCC2888,23555,0
TXN0000077,CUST00668,2023-07-09,420753,emi_payment,internet_banking,MCC2543,193609,0
TXN0000078,CUST00912,2023-07-02,204864,credit,internet_banking,MCC1277,1812930,0
TXN0000079,CUST00785,2023-05-11,322695,transfer,mobile_app,MCC1469,1918789,0
TXN0000080,CUST00305,2023-03-01,440796,debit,internet_banking,MCC8282,1384109,0
TXN0000081,CUST00170,2023-08-26,382033,credit,internet_banking,MCC1629,214096,0
TXN0000082,CUST00846,2023-10-16,199969,transfer,mobile_app,MCC8698,1173196,0
TXN0000083,CUST00373,2023-08-22,174208,credit,internet_banking,MCC9067,864903,0
